,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Hoedjesbaai
2,Niksic,ME,56.68,overcast clouds,42.7731,18.9445,Hotel Onogošt
5,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Grand Bel Air
6,Axim,GH,78.13,light rain,4.8699,-2.2405,Axim Beach Hotel
7,Bushehr,IR,62.69,clear sky,28.9684,50.8385,هتل رستوران سیراف
8,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,Nuevo Ostende
10,Wad Madani,SD,72.27,clear sky,14.4012,33.5199,Allneel hotel
12,Chipata,ZM,64.49,light rain,-13.6333,32.65,Kamocho Gueshouse
14,Hambantota,LK,73.74,haze,6.1241,81.1185,Oasis Aurweda Resort Hambathota
19,Cape Town,ZA,67.08,broken clouds,-33.9258,18.4232,Townhouse Hotel
21,Dori,BF,70.59,clear sky,14.0354,-0.0345,Kuin Deni Dori
22,Chuy,UY,73.54,scattered clouds,-33.6971,-53.4616,Alerces
26,Cockburn Town,TC,77.52,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
27,Salinas,US,54.5,overcast clouds,36.6777,-121.6555,The Traveler's Hotel
28,Rawson,AR,64.9,few clouds,-43.3002,-65.1023,Hotel Deportivo
33,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,Le Baril
36,Bredasdorp,ZA,64.47,clear sky,-34.5322,20.0403,Victoria Hotel
40,Alcudia,ES,62.55,overcast clouds,39.8532,3.1214,Can Mostatxins
42,Marawi,PH,78.06,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
49,Caravelas,BR,74.53,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
50,Sokolo,ML,75.07,clear sky,14.7328,-6.1219,Mairie de la Commune de Sokolo
59,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Praia Dourada
62,Lagoa,PT,62.89,light rain,39.05,-27.9833,Casa da Madrinha
64,Salalah,OM,71.69,clear sky,17.0151,54.0924,Muscat International Hotel
66,Peniche,PT,58.1,overcast clouds,39.3558,-9.3811,Residencial Maciel
71,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Tropic Hotel
74,La Plata,AR,71.76,light rain,-34.9215,-57.9545,Hotel Catedral
76,Port Elizabeth,ZA,68.31,few clouds,-33.918,25.5701,Waterford Hotel
77,Bengkulu,ID,79.99,overcast clouds,-3.8004,102.2655,Dena Hotel
79,Cidreira,BR,71.64,few clouds,-30.1811,-50.2056,Hotel Castelo
81,Palmeiras De Goias,BR,72.86,overcast clouds,-16.805,-49.9258,Palmeiras Park Hotel
82,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
87,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
88,Senanga,ZM,66.18,light rain,-16.1167,23.2667,Senanga Safari Lodge
94,Kariba,ZW,71.06,light rain,-16.5167,28.8,Lodge
95,Bueu,ES,51.21,clear sky,42.3246,-8.785,Apartamentos Ría de Aldán
98,Nashville,US,56.53,scattered clouds,36.1659,-86.7844,Sheraton Grand Nashville Downtown
101,Corozal,CO,72.12,scattered clouds,9.3151,-75.2928,Hotel la casa rosada
103,Camocim,BR,78.82,few clouds,-2.9022,-40.8411,Hotel Dunas
104,Hermanus,ZA,67.8,clear sky,-34.4187,19.2345,Aloe guest house
105,Diamantino,BR,77.16,overcast clouds,-14.4086,-56.4461,Hotel kayaby
106,Necochea,AR,59.22,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
107,Puerto El Triunfo,SV,75.97,clear sky,13.2833,-88.55,Motel Jardín
109,Tarata,BO,65.62,scattered clouds,-17.6167,-66.0167,Centro Alternativo Tara Tara
110,Atar,MR,77.95,clear sky,20.5169,-13.0499,فندق سكليل
112,Antalaha,MG,72.45,few clouds,-14.9003,50.2788,Hôtel Florida
114,Diego De Almagro,CL,66.51,scattered clouds,-26.3667,-70.05,Residencial Hambyll
116,San Carlos De Bariloche,AR,55.15,scattered clouds,-41.1456,-71.3082,Kronos
118,Colares,PT,58.75,overcast clouds,38.7992,-9.4469,Hotel Arribas
120,Asfi,MA,63.93,light rain,32.2994,-9.2372,Golden Tulip Farah Safi
121,Namibe,AO,67.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
124,Bukama,CD,67.24,overcast clouds,-9.2,25.85,Mission catholique
126,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Prainha
128,Castro,BR,65.28,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
134,Nueva Loja,EC,70.0,broken clouds,0.0847,-76.8828,Castillo Real
137,Sao Joao Da Barra,BR,74.17,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
139,Palmas,BR,76.87,broken clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
140,Eyl,SO,74.14,overcast clouds,7.9803,49.8164,فندق ايل دابي
141,Pedernales,DO,74.59,clear sky,18.0384,-71.744,Hostal Doña Chava
142,Ilhabela,BR,72.14,overcast clouds,-23.7781,-45.3581,Vila Kebaya
143,Laguna,US,52.92,overcast clouds,38.421,-121.4238,Holiday Inn Express & Suites
144,Rocha,UY,77.67,overcast clouds,-34.4833,-54.3333,Hotel Municipal
146,Altamira,BR,76.91,overcast clouds,-3.2033,-52.2064,Hotel Vale do Xingu
150,Coquimbo,CL,62.33,scattered clouds,-29.9533,-71.3436,Hotel Iberia
153,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Vahiny Hotel
157,Ampanihy,MG,75.54,clear sky,-24.7,44.75,Hotel restaurant Angora
161,Plettenberg Bay,ZA,63.99,clear sky,-34.0527,23.3716,Milkwood Manor
162,Port Shepstone,ZA,71.67,few clouds,-30.7414,30.455,The Spot Backpackers'
167,Felipe Carrillo Puerto,MX,69.31,clear sky,19.5833,-88.05,Hotel María José
168,Rio Grande,BR,72.03,moderate rain,-32.035,-52.0986,Hotel Vila Moura Executivo
169,Victoria,HK,66.94,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
172,Luanda,AO,77.27,overcast clouds,-8.8368,13.2343,Hotel Forum
175,Valparaiso,CL,69.44,clear sky,-33.0393,-71.6273,Ibis Hotel
176,Bajil,YE,74.5,broken clouds,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
179,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
180,Benghazi,LY,65.62,broken clouds,32.1167,20.0667,ترجاب
182,Riyadh,SA,51.94,overcast clouds,24.6877,46.7219,White Palace Hotel
183,Villa Maria,AR,76.82,moderate rain,-32.4075,-63.2402,Gran Hotel Orión
184,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel Tamasite
187,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
188,Jijiga,ET,56.59,scattered clouds,9.35,42.8,Africa Hotel
189,Vila Franca Do Campo,PT,64.2,moderate rain,37.7167,-25.4333,Vinha d'Areia Beach Hotel
191,Linden,GY,72.57,overcast clouds,6.0,-58.3,Watooka Guest House
195,Mutata,CO,72.84,overcast clouds,7.2441,-76.4356,Hotel Zulima
199,Coro,VE,74.73,few clouds,11.4045,-69.6734,Urumaco Suite
200,Sao Filipe,CV,75.31,clear sky,14.8961,-24.4956,Bela Vista
201,Vazante,BR,75.33,overcast clouds,-17.9869,-46.9078,Kabana
202,Nizwa,OM,64.45,clear sky,22.9333,57.5333,Nizwa Heritage Inn
205,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Bellamar
208,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
209,Meulaboh,ID,78.21,light rain,4.1363,96.1285,Hotel Meuligou
211,Parrita,CR,75.65,few clouds,9.5201,-84.3225,Hotel Paraíso Carlisa
220,Alta Floresta,BR,71.74,light rain,-9.8756,-56.0861,Villas Hotel
221,Cedartown,US,63.72,overcast clouds,34.0537,-85.255,Quality Inn
225,Vryburg,ZA,69.13,broken clouds,-26.9566,24.7284,International Hotel
226,Lamu,KE,78.4,overcast clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
227,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
230,Praia Da Vitoria,PT,60.76,moderate rain,38.7333,-27.0667,Salles
231,Matara,LK,77.34,moderate rain,5.9485,80.5353,Villa Palm Breeze
234,Rio Gallegos,AR,53.65,clear sky,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
241,San Luis,AR,74.44,clear sky,-33.295,-66.3356,Hotel Dos Venados
242,Dire Dawa,ET,61.03,few clouds,9.5931,41.8661,Adis Abeba
243,Sao Jose Da Coroa Grande,BR,78.39,overcast clouds,-8.8978,-35.1478,Hotel do Sol
246,Constantine,DZ,54.81,thunderstorm with rain,36.365,6.6147,Hôtel El Hawa Talk
249,Granville,AU,72.46,broken clouds,-33.8333,151.0167,APX Parramatta
251,Tabuk,PH,77.81,overcast clouds,17.4189,121.4443,Davidson Hotel
