City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ust-Koksa,RU,50.2696,85.6108,7.45,96,100,2.68,overcast clouds
1,Saldanha,ZA,-33.0117,17.9442,66.25,88,0,5.57,clear sky
2,Niksic,ME,42.7731,18.9445,56.68,99,100,8.7,overcast clouds
3,Bereda,ES,43.2686,-7.5406,43.41,100,100,5.08,overcast clouds
4,Bonthe,SL,7.5264,-12.505,79.39,79,30,3.98,scattered clouds
5,Mahebourg,MU,-20.4081,57.7,77.29,83,40,8.05,light rain
6,Axim,GH,4.8699,-2.2405,78.13,85,1,5.1,light rain
7,Bushehr,IR,28.9684,50.8385,62.69,59,0,11.5,clear sky
8,Mar Del Plata,AR,-38.0023,-57.5575,66.22,72,0,13.8,clear sky
9,Jamestown,US,42.097,-79.2353,29.01,66,0,9.22,clear sky
10,Wad Madani,SD,14.4012,33.5199,72.27,20,3,12.41,clear sky
11,Fonte Boa,BR,-2.4959,-66.2662,76.93,87,100,1.3,overcast clouds
12,Chipata,ZM,-13.6333,32.65,64.49,92,100,2.91,light rain
13,Saint George,US,37.1041,-113.5841,46.99,54,0,4.61,clear sky
14,Hambantota,LK,6.1241,81.1185,73.74,100,75,0.0,haze
15,Ushuaia,AR,-54.8,-68.3,44.26,65,40,21.85,scattered clouds
16,Kem,RU,64.9555,34.5793,26.85,86,99,14.41,overcast clouds
17,Edd,ER,13.9297,41.6925,76.05,80,7,3.24,clear sky
18,La Tuque,CA,47.4334,-72.7824,12.45,67,8,9.22,clear sky
19,Cape Town,ZA,-33.9258,18.4232,67.08,88,75,4.0,broken clouds
20,Dikson,RU,73.5069,80.5464,-1.25,99,100,12.08,overcast clouds
21,Dori,BF,14.0354,-0.0345,70.59,15,0,9.17,clear sky
22,Chuy,UY,-33.6971,-53.4616,73.54,69,41,9.86,scattered clouds
23,Grindavik,IS,63.8424,-22.4338,30.67,74,0,10.36,clear sky
24,Norrtalje,SE,59.758,18.705,23.43,99,82,3.51,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,17.27,scattered clouds
26,Cockburn Town,TC,21.4612,-71.1419,77.52,68,28,14.47,scattered clouds
27,Salinas,US,36.6777,-121.6555,54.5,84,100,0.0,overcast clouds
28,Rawson,AR,-43.3002,-65.1023,64.9,37,20,3.36,few clouds
29,Talnakh,RU,69.4865,88.3972,-22.68,97,15,1.16,few clouds
30,Klaksvik,FO,62.2266,-6.589,36.52,69,100,30.2,light rain
31,Kresttsy,RU,58.2452,32.5165,13.86,100,92,0.65,overcast clouds
32,Shatrovo,RU,56.5167,64.6333,14.4,91,100,11.1,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,13,10.31,few clouds
34,Varhaug,NO,58.6147,5.6457,31.89,61,20,14.83,few clouds
35,Bella Union,UY,-30.2752,-57.6007,86.11,23,100,9.57,overcast clouds
36,Bredasdorp,ZA,-34.5322,20.0403,64.47,83,0,1.88,clear sky
37,Port Alfred,ZA,-33.5906,26.891,68.18,87,100,5.99,overcast clouds
38,Narsaq,GL,60.9167,-46.05,12.15,70,0,7.4,clear sky
39,Ferrol,ES,43.4832,-8.2369,49.68,70,76,10.96,broken clouds
40,Alcudia,ES,39.8532,3.1214,62.55,80,86,7.23,overcast clouds
41,Salihorsk,BY,52.7876,27.5415,28.0,98,100,8.48,snow
42,Marawi,PH,7.9986,124.2928,78.06,72,93,6.78,overcast clouds
43,Mehamn,NO,71.0357,27.8492,17.51,86,99,6.91,overcast clouds
44,Codrington,AU,-38.2667,141.9667,70.38,46,6,4.38,clear sky
45,Sorland,NO,67.667,12.6934,35.46,55,18,16.28,few clouds
46,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,8.05,light rain
47,Usak,TR,38.5,29.4167,44.31,79,82,4.92,broken clouds
48,East London,ZA,-33.0153,27.9116,71.71,81,100,6.93,overcast clouds
49,Caravelas,BR,-17.7125,-39.2481,74.53,93,60,10.6,broken clouds
50,Sokolo,ML,14.7328,-6.1219,75.07,17,0,7.96,clear sky
51,Bentiu,SS,9.2333,29.8333,74.19,36,68,7.2,broken clouds
52,Razam,IN,18.4667,83.6667,72.61,57,98,3.74,overcast clouds
53,Rincon,US,32.296,-81.2354,60.85,96,89,4.05,overcast clouds
